#separator:,
#html:true
#if matches:keep current
#notetype:Spanish Conjugation
#deck:Spanish::conjugación
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint
"abrir, vs, pretérito imperfecto",abrir,otwierać,to open,vs,pret_imperfecto,abríais,,False,
"abrir, ellos, pretérito imperfecto",abrir,otwierać,to open,ellos,pret_imperfecto,abrían,,False,
"abrir, tú, imperativo",abrir,otwierać,to open,tu,imperativo,abre,,False,
"abrir, usted, imperativo",abrir,otwierać,to open,ud,imperativo,abra,,False,
"abrir, ns, imperativo",abrir,otwierać,to open,ns,imperativo,abramos,,False,
"abrir, vs, imperativo",abrir,otwierać,to open,vs,imperativo,abrid,,False,
"abrir, ustedes, imperativo",abrir,otwierać,to open,uds,imperativo,abran,,False,
"acabar, yo, presente",acabar,kończyć,to finish,yo,presente,acabo,kończę,False,
"acabar, tú, presente",acabar,kończyć,to finish,tu,presente,acabas,kończysz,False,
"acabar, él, presente",acabar,kończyć,to finish,el,presente,acaba,kończy,False,
"acabar, ns, presente",acabar,kończyć,to finish,ns,presente,acabamos,kończymy,False,
"acabar, vs, presente",acabar,kończyć,to finish,vs,presente,acabáis,kończycie,False,
"acabar, ellos, presente",acabar,kończyć,to finish,ellos,presente,acaban,kończyą,False,
"acabar, yo, pret. indefinido",acabar,kończyć,to finish,yo,pret_indefinido,acabé,skończyłem,False,
"acabar, tú, pret. indefinido",acabar,kończyć,to finish,tu,pret_indefinido,acabaste,skończyłeś,False,
"acabar, él, pret. indefinido",acabar,kończyć,to finish,el,pret_indefinido,acabó,skończył,False,
"acabar, ns, pret. indefinido",acabar,kończyć,to finish,ns,pret_indefinido,acabamos,skończyliśmy,False,
"acabar, vs, pret. indefinido",acabar,kończyć,to finish,vs,pret_indefinido,acabasteis,skończyliście,False,
"acabar, ellos, pret. indefinido",acabar,kończyć,to finish,ellos,pret_indefinido,acabaron,skończyli,False,
"acabar, yo, pret. perfecto",acabar,kończyć,to finish,yo,pret_perfecto,he acabado,,False,
"acabar, tú, pret. perfecto",acabar,kończyć,to finish,tu,pret_perfecto,has acabado,,False,
"acabar, él, pret. perfecto",acabar,kończyć,to finish,el,pret_perfecto,ha acabado,,False,
"acabar, ns, pret. perfecto",acabar,kończyć,to finish,ns,pret_perfecto,hemos acabado,,False,
"acabar, vs, pret. perfecto",acabar,kończyć,to finish,vs,pret_perfecto,habéis acabado,,False,
"acabar, ellos, pret. perfecto",acabar,kończyć,to finish,ellos,pret_perfecto,han acabado,,False,
"acabar, yo, presente progresivo",acabar,kończyć,to finish,yo,presente_progresivo,estoy acabando,,False,
"acabar, tú, presente progresivo",acabar,kończyć,to finish,tu,presente_progresivo,estás acabando,,False,
"acabar, él, presente progresivo",acabar,kończyć,to finish,el,presente_progresivo,está acabando,,False,
"acabar, ns, presente progresivo",acabar,kończyć,to finish,ns,presente_progresivo,estamos acabando,,False,
"acabar, vs, presente progresivo",acabar,kończyć,to finish,vs,presente_progresivo,estáis acabando,,False,
"acabar, ellos, presente progresivo",acabar,kończyć,to finish,ellos,presente_progresivo,están acabando,,False,
"acabar, yo, pretérito imperfecto",acabar,kończyć,to finish,yo,pret_imperfecto,acababa,,False,
"acabar, tú, pretérito imperfecto",acabar,kończyć,to finish,tu,pret_imperfecto,acababas,,False,
"acabar, él, pretérito imperfecto",acabar,kończyć,to finish,el,pret_imperfecto,acababa,,False,
"acabar, ns, pretérito imperfecto",acabar,kończyć,to finish,ns,pret_imperfecto,acabábamos,,False,
"acabar, vs, pretérito imperfecto",acabar,kończyć,to finish,vs,pret_imperfecto,acababais,,False,
"acabar, ellos, pretérito imperfecto",acabar,kończyć,to finish,ellos,pret_imperfecto,acababan,,False,
"acabar, tú, imperativo",acabar,kończyć,to finish,tu,imperativo,acaba,,False,
"acabar, usted, imperativo",acabar,kończyć,to finish,ud,imperativo,acabe,,False,
"acabar, ns, imperativo",acabar,kończyć,to finish,ns,imperativo,acabemos,,False,
"acabar, vs, imperativo",acabar,kończyć,to finish,vs,imperativo,acabad,,False,
"acabar, ustedes, imperativo",acabar,kończyć,to finish,uds,imperativo,acaben,,False,
"acercarse, yo, presente",acercarse,podejść,to approach,yo,presente,me acerco,,False,
"acercarse, tú, presente",acercarse,podejść,to approach,tu,presente,te acercas,,False,
"acercarse, él, presente",acercarse,podejść,to approach,el,presente,se acerca,,False,
"acercarse, ns, presente",acercarse,podejść,to approach,ns,presente,nos acercamos,,False,
"acercarse, vs, presente",acercarse,podejść,to approach,vs,presente,os acercáis,,False,
"acercarse, ellos, presente",acercarse,podejść,to approach,ellos,presente,se acercan,,False,
"acercarse, yo, pret. indefinido",acercarse,podejść,to approach,yo,pret_indefinido,me acer<em>qu</em>é,,True,
"acercarse, tú, pret. indefinido",acercarse,podejść,to approach,tu,pret_indefinido,te acercaste,,False,
"acercarse, él, pret. indefinido",acercarse,podejść,to approach,el,pret_indefinido,se acercó,,False,
"acercarse, ns, pret. indefinido",acercarse,podejść,to approach,ns,pret_indefinido,nos acercamos,,False,
"acercarse, vs, pret. indefinido",acercarse,podejść,to approach,vs,pret_indefinido,os acercasteis,,False,
"acercarse, ellos, pret. indefinido",acercarse,podejść,to approach,ellos,pret_indefinido,se acercaron,,False,
"acercarse, yo, pret. perfecto",acercarse,podejść,to approach,yo,pret_perfecto,me he acercado,,False,
"acercarse, tú, pret. perfecto",acercarse,podejść,to approach,tu,pret_perfecto,te has acercado,,False,
"acercarse, él, pret. perfecto",acercarse,podejść,to approach,el,pret_perfecto,se ha acercado,,False,
"acercarse, ns, pret. perfecto",acercarse,podejść,to approach,ns,pret_perfecto,nos hemos acercado,,False,
"acercarse, vs, pret. perfecto",acercarse,podejść,to approach,vs,pret_perfecto,os habéis acercado,,False,
"acercarse, ellos, pret. perfecto",acercarse,podejść,to approach,ellos,pret_perfecto,se han acercado,,False,
"acercarse, yo, presente progresivo",acercarse,podejść,to approach,yo,presente_progresivo,me estoy acercando,,False,
"acercarse, tú, presente progresivo",acercarse,podejść,to approach,tu,presente_progresivo,te estás acercando,,False,
"acercarse, él, presente progresivo",acercarse,podejść,to approach,el,presente_progresivo,se está acercando,,False,
"acercarse, ns, presente progresivo",acercarse,podejść,to approach,ns,presente_progresivo,nos estamos acercando,,False,
"acercarse, vs, presente progresivo",acercarse,podejść,to approach,vs,presente_progresivo,os estáis acercando,,False,
"acercarse, ellos, presente progresivo",acercarse,podejść,to approach,ellos,presente_progresivo,se están acercando,,False,
"acercarse, yo, pretérito imperfecto",acercarse,podejść,to approach,yo,pret_imperfecto,me acercaba,,False,
"acercarse, tú, pretérito imperfecto",acercarse,podejść,to approach,tu,pret_imperfecto,te acercabas,,False,
"acercarse, él, pretérito imperfecto",acercarse,podejść,to approach,el,pret_imperfecto,se acercaba,,False,
"acercarse, ns, pretérito imperfecto",acercarse,podejść,to approach,ns,pret_imperfecto,nos acercábamos,,False,
"acercarse, vs, pretérito imperfecto",acercarse,podejść,to approach,vs,pret_imperfecto,os acercabais,,False,
"acercarse, ellos, pretérito imperfecto",acercarse,podejść,to approach,ellos,pret_imperfecto,se acercaban,,False,
"acercarse, tú, imperativo",acercarse,podejść,to approach,tu,imperativo,acércate,,False,
"acercarse, usted, imperativo",acercarse,podejść,to approach,ud,imperativo,acér<em>qu</em>ese,,True,
"acercarse, ns, imperativo",acercarse,podejść,to approach,ns,imperativo,acer<em>qu</em>émonos,,True,
"acercarse, vs, imperativo",acercarse,podejść,to approach,vs,imperativo,acercaos,,False,
"acercarse, ustedes, imperativo",acercarse,podejść,to approach,uds,imperativo,acér<em>qu</em>ense,,True,
"acostarse, yo, presente",acostarse,położyć się,to go to bed,yo,presente,me ac<em>ue</em>sto,kładę się,True,
"acostarse, tú, presente",acostarse,położyć się,to go to bed,tu,presente,te ac<em>ue</em>stas,kładziesz się,True,
"acostarse, él, presente",acostarse,położyć się,to go to bed,el,presente,se ac<em>ue</em>sta,kładzie się,True,
"acostarse, ns, presente",acostarse,położyć się,to go to bed,ns,presente,nos acostamos,kładziemy się,False,
"acostarse, vs, presente",acostarse,położyć się,to go to bed,vs,presente,os acostáis,kładziecie się,False,
"acostarse, ellos, presente",acostarse,położyć się,to go to bed,ellos,presente,se ac<em>ue</em>stan,kładą się,True,
"acostarse, yo, pret. indefinido",acostarse,położyć się,to go to bed,yo,pret_indefinido,me acosté,położyłem się,False,
"acostarse, tú, pret. indefinido",acostarse,położyć się,to go to bed,tu,pret_indefinido,te acostaste,położyłeś się,False,
"acostarse, él, pret. indefinido",acostarse,położyć się,to go to bed,el,pret_indefinido,se acostó,położył się,False,
"acostarse, ns, pret. indefinido",acostarse,położyć się,to go to bed,ns,pret_indefinido,nos acostamos,położyliśmy się,False,
"acostarse, vs, pret. indefinido",acostarse,położyć się,to go to bed,vs,pret_indefinido,os acostasteis,położyliście się,False,
"acostarse, ellos, pret. indefinido",acostarse,położyć się,to go to bed,ellos,pret_indefinido,se acostaron,położyli się,False,
"acostarse, yo, pret. perfecto",acostarse,położyć się,to go to bed,yo,pret_perfecto,me he acostado,,False,
"acostarse, tú, pret. perfecto",acostarse,położyć się,to go to bed,tu,pret_perfecto,te has acostado,,False,
"acostarse, él, pret. perfecto",acostarse,położyć się,to go to bed,el,pret_perfecto,se ha acostado,,False,
"acostarse, ns, pret. perfecto",acostarse,położyć się,to go to bed,ns,pret_perfecto,nos hemos acostado,,False,
"acostarse, vs, pret. perfecto",acostarse,położyć się,to go to bed,vs,pret_perfecto,os habéis acostado,,False,
"acostarse, ellos, pret. perfecto",acostarse,położyć się,to go to bed,ellos,pret_perfecto,se han acostado,,False,
"acostarse, yo, presente progresivo",acostarse,położyć się,to go to bed,yo,presente_progresivo,me estoy acostando,,False,
"acostarse, tú, presente progresivo",acostarse,położyć się,to go to bed,tu,presente_progresivo,te estás acostando,,False,
"acostarse, él, presente progresivo",acostarse,położyć się,to go to bed,el,presente_progresivo,se está acostando,,False,
"acostarse, ns, presente progresivo",acostarse,położyć się,to go to bed,ns,presente_progresivo,nos estamos acostando,,False,
"acostarse, vs, presente progresivo",acostarse,położyć się,to go to bed,vs,presente_progresivo,os estáis acostando,,False,
"acostarse, ellos, presente progresivo",acostarse,położyć się,to go to bed,ellos,presente_progresivo,se están acostando,,False,
"acostarse, yo, pretérito imperfecto",acostarse,położyć się,to go to bed,yo,pret_imperfecto,me acostaba,,False,
"acostarse, tú, pretérito imperfecto",acostarse,położyć się,to go to bed,tu,pret_imperfecto,te acostabas,,False,
"acostarse, él, pretérito imperfecto",acostarse,położyć się,to go to bed,el,pret_imperfecto,se acostaba,,False,
"acostarse, ns, pretérito imperfecto",acostarse,położyć się,to go to bed,ns,pret_imperfecto,nos acostábamos,,False,
"acostarse, vs, pretérito imperfecto",acostarse,położyć się,to go to bed,vs,pret_imperfecto,os acostabais,,False,
"acostarse, ellos, pretérito imperfecto",acostarse,położyć się,to go to bed,ellos,pret_imperfecto,se acostaban,,False,
"acostarse, tú, imperativo",acostarse,położyć się,to go to bed,tu,imperativo,ac<em>ué</em>state,,True,
"acostarse, usted, imperativo",acostarse,położyć się,to go to bed,ud,imperativo,ac<em>ué</em>stese,,True,
"acostarse, ns, imperativo",acostarse,położyć się,to go to bed,ns,imperativo,acostémonos,,False,
"acostarse, vs, imperativo",acostarse,położyć się,to go to bed,vs,imperativo,acostaos,,False,
"acostarse, ustedes, imperativo",acostarse,położyć się,to go to bed,uds,imperativo,ac<em>ué</em>stense,,True,
"alquilar, yo, presente",alquilar,wynajmować,to rent,yo,presente,alquilo,wynajmuję,False,
"alquilar, tú, presente",alquilar,wynajmować,to rent,tu,presente,alquilas,wynajmujesz,False,
"alquilar, él, presente",alquilar,wynajmować,to rent,el,presente,alquila,wynajmuje,False,
"alquilar, ns, presente",alquilar,wynajmować,to rent,ns,presente,alquilamos,wynajmujemy,False,
"alquilar, vs, presente",alquilar,wynajmować,to rent,vs,presente,alquiláis,wynajmujecie,False,
"alquilar, ellos, presente",alquilar,wynajmować,to rent,ellos,presente,alquilan,wynajmują,False,
"alquilar, yo, pret. indefinido",alquilar,wynajmować,to rent,yo,pret_indefinido,alquilé,wynajmowałem,False,
"alquilar, tú, pret. indefinido",alquilar,wynajmować,to rent,tu,pret_indefinido,alquilaste,wynajmowałeś,False,
"alquilar, él, pret. indefinido",alquilar,wynajmować,to rent,el,pret_indefinido,alquiló,wynajmował,False,
"alquilar, ns, pret. indefinido",alquilar,wynajmować,to rent,ns,pret_indefinido,alquilamos,wynajmowaliśmy,False,
"alquilar, vs, pret. indefinido",alquilar,wynajmować,to rent,vs,pret_indefinido,alquilasteis,wynajmowaliście,False,
"alquilar, ellos, pret. indefinido",alquilar,wynajmować,to rent,ellos,pret_indefinido,alquilaron,wynajmowali,False,
"alquilar, yo, pret. perfecto",alquilar,wynajmować,to rent,yo,pret_perfecto,he alquilado,,False,
"alquilar, tú, pret. perfecto",alquilar,wynajmować,to rent,tu,pret_perfecto,has alquilado,,False,
"alquilar, él, pret. perfecto",alquilar,wynajmować,to rent,el,pret_perfecto,ha alquilado,,False,
"alquilar, ns, pret. perfecto",alquilar,wynajmować,to rent,ns,pret_perfecto,hemos alquilado,,False,
"alquilar, vs, pret. perfecto",alquilar,wynajmować,to rent,vs,pret_perfecto,habéis alquilado,,False,
"alquilar, ellos, pret. perfecto",alquilar,wynajmować,to rent,ellos,pret_perfecto,han alquilado,,False,
"alquilar, yo, presente progresivo",alquilar,wynajmować,to rent,yo,presente_progresivo,estoy alquilando,,False,
"alquilar, tú, presente progresivo",alquilar,wynajmować,to rent,tu,presente_progresivo,estás alquilando,,False,
"alquilar, él, presente progresivo",alquilar,wynajmować,to rent,el,presente_progresivo,está alquilando,,False,
"alquilar, ns, presente progresivo",alquilar,wynajmować,to rent,ns,presente_progresivo,estamos alquilando,,False,
"alquilar, vs, presente progresivo",alquilar,wynajmować,to rent,vs,presente_progresivo,estáis alquilando,,False,
"alquilar, ellos, presente progresivo",alquilar,wynajmować,to rent,ellos,presente_progresivo,están alquilando,,False,
"alquilar, yo, pretérito imperfecto",alquilar,wynajmować,to rent,yo,pret_imperfecto,alquilaba,,False,
"alquilar, tú, pretérito imperfecto",alquilar,wynajmować,to rent,tu,pret_imperfecto,alquilabas,,False,
"alquilar, él, pretérito imperfecto",alquilar,wynajmować,to rent,el,pret_imperfecto,alquilaba,,False,
"alquilar, ns, pretérito imperfecto",alquilar,wynajmować,to rent,ns,pret_imperfecto,alquilábamos,,False,
"alquilar, vs, pretérito imperfecto",alquilar,wynajmować,to rent,vs,pret_imperfecto,alquilabais,,False,
"alquilar, ellos, pretérito imperfecto",alquilar,wynajmować,to rent,ellos,pret_imperfecto,alquilaban,,False,
"alquilar, tú, imperativo",alquilar,wynajmować,to rent,tu,imperativo,alquila,,False,
"alquilar, usted, imperativo",alquilar,wynajmować,to rent,ud,imperativo,alquile,,False,
"alquilar, ns, imperativo",alquilar,wynajmować,to rent,ns,imperativo,alquilemos,,False,
"alquilar, vs, imperativo",alquilar,wynajmować,to rent,vs,imperativo,alquilad,,False,
"alquilar, ustedes, imperativo",alquilar,wynajmować,to rent,uds,imperativo,alquilen,,False,
"andar, yo, presente",andar,chodzić,to walk,yo,presente,ando,,False,
"andar, tú, presente",andar,chodzić,to walk,tu,presente,andas,,False,
"andar, él, presente",andar,chodzić,to walk,el,presente,anda,,False,
"andar, ns, presente",andar,chodzić,to walk,ns,presente,andamos,,False,
"andar, vs, presente",andar,chodzić,to walk,vs,presente,andáis,,False,
"andar, ellos, presente",andar,chodzić,to walk,ellos,presente,andan,,False,
"andar, yo, pret. indefinido",andar,chodzić,to walk,yo,pret_indefinido,and<em>uve</em>,,True,
"andar, tú, pret. indefinido",andar,chodzić,to walk,tu,pret_indefinido,and<em>uvi</em>ste,,True,
"andar, él, pret. indefinido",andar,chodzić,to walk,el,pret_indefinido,and<em>uvo</em>,,True,
"andar, ns, pret. indefinido",andar,chodzić,to walk,ns,pret_indefinido,and<em>uvi</em>mos,,True,
"andar, vs, pret. indefinido",andar,chodzić,to walk,vs,pret_indefinido,and<em>uvi</em>steis,,True,
"andar, ellos, pret. indefinido",andar,chodzić,to walk,ellos,pret_indefinido,and<em>uvie</em>ron,,True,
"andar, yo, pret. perfecto",andar,chodzić,to walk,yo,pret_perfecto,he andado,,False,
"andar, tú, pret. perfecto",andar,chodzić,to walk,tu,pret_perfecto,has andado,,False,
"andar, él, pret. perfecto",andar,chodzić,to walk,el,pret_perfecto,ha andado,,False,
"andar, ns, pret. perfecto",andar,chodzić,to walk,ns,pret_perfecto,hemos andado,,False,
"andar, vs, pret. perfecto",andar,chodzić,to walk,vs,pret_perfecto,habéis andado,,False,
"andar, ellos, pret. perfecto",andar,chodzić,to walk,ellos,pret_perfecto,han andado,,False,
"andar, yo, presente progresivo",andar,chodzić,to walk,yo,presente_progresivo,estoy andando,,False,
"andar, tú, presente progresivo",andar,chodzić,to walk,tu,presente_progresivo,estás andando,,False,
"andar, él, presente progresivo",andar,chodzić,to walk,el,presente_progresivo,está andando,,False,
"andar, ns, presente progresivo",andar,chodzić,to walk,ns,presente_progresivo,estamos andando,,False,
"andar, vs, presente progresivo",andar,chodzić,to walk,vs,presente_progresivo,estáis andando,,False,
"andar, ellos, presente progresivo",andar,chodzić,to walk,ellos,presente_progresivo,están andando,,False,
"andar, yo, pretérito imperfecto",andar,chodzić,to walk,yo,pret_imperfecto,andaba,,False,
"andar, tú, pretérito imperfecto",andar,chodzić,to walk,tu,pret_imperfecto,andabas,,False,
"andar, él, pretérito imperfecto",andar,chodzić,to walk,el,pret_imperfecto,andaba,,False,
"andar, ns, pretérito imperfecto",andar,chodzić,to walk,ns,pret_imperfecto,andábamos,,False,
"andar, vs, pretérito imperfecto",andar,chodzić,to walk,vs,pret_imperfecto,andabais,,False,
"andar, ellos, pretérito imperfecto",andar,chodzić,to walk,ellos,pret_imperfecto,andaban,,False,
"andar, tú, imperativo",andar,chodzić,to walk,tu,imperativo,anda,,False,
"andar, usted, imperativo",andar,chodzić,to walk,ud,imperativo,ande,,False,
"andar, ns, imperativo",andar,chodzić,to walk,ns,imperativo,andemos,,False,
"andar, vs, imperativo",andar,chodzić,to walk,vs,imperativo,andad,,False,
"andar, ustedes, imperativo",andar,chodzić,to walk,uds,imperativo,anden,,False,
"beber, yo, presente",beber,pić,to drink,yo,presente,bebo,,False,
"beber, tú, presente",beber,pić,to drink,tu,presente,bebes,,False,
"beber, él, presente",beber,pić,to drink,el,presente,bebe,,False,
"beber, ns, presente",beber,pić,to drink,ns,presente,bebemos,,False,
"beber, vs, presente",beber,pić,to drink,vs,presente,bebéis,,False,
"beber, ellos, presente",beber,pić,to drink,ellos,presente,beben,,False,
"beber, yo, pret. indefinido",beber,pić,to drink,yo,pret_indefinido,bebí,,False,
"beber, tú, pret. indefinido",beber,pić,to drink,tu,pret_indefinido,bebiste,,False,
"beber, él, pret. indefinido",beber,pić,to drink,el,pret_indefinido,bebió,,False,
"beber, ns, pret. indefinido",beber,pić,to drink,ns,pret_indefinido,bebimos,,False,
"beber, vs, pret. indefinido",beber,pić,to drink,vs,pret_indefinido,bebisteis,,False,
"beber, ellos, pret. indefinido",beber,pić,to drink,ellos,pret_indefinido,bebieron,,False,
"beber, yo, pret. perfecto",beber,pić,to drink,yo,pret_perfecto,he bebido,,False,
"beber, tú, pret. perfecto",beber,pić,to drink,tu,pret_perfecto,has bebido,,False,
"beber, él, pret. perfecto",beber,pić,to drink,el,pret_perfecto,ha bebido,,False,
"beber, ns, pret. perfecto",beber,pić,to drink,ns,pret_perfecto,hemos bebido,,False,
"beber, vs, pret. perfecto",beber,pić,to drink,vs,pret_perfecto,habéis bebido,,False,
"beber, ellos, pret. perfecto",beber,pić,to drink,ellos,pret_perfecto,han bebido,,False,
"beber, yo, presente progresivo",beber,pić,to drink,yo,presente_progresivo,estoy bebiendo,,False,
"beber, tú, presente progresivo",beber,pić,to drink,tu,presente_progresivo,estás bebiendo,,False,
"beber, él, presente progresivo",beber,pić,to drink,el,presente_progresivo,está bebiendo,,False,
"beber, ns, presente progresivo",beber,pić,to drink,ns,presente_progresivo,estamos bebiendo,,False,
"beber, vs, presente progresivo",beber,pić,to drink,vs,presente_progresivo,estáis bebiendo,,False,
"beber, ellos, presente progresivo",beber,pić,to drink,ellos,presente_progresivo,están bebiendo,,False,
"beber, yo, pretérito imperfecto",beber,pić,to drink,yo,pret_imperfecto,bebía,,False,
"beber, tú, pretérito imperfecto",beber,pić,to drink,tu,pret_imperfecto,bebías,,False,
"beber, él, pretérito imperfecto",beber,pić,to drink,el,pret_imperfecto,bebía,,False,
"beber, ns, pretérito imperfecto",beber,pić,to drink,ns,pret_imperfecto,bebíamos,,False,
"beber, vs, pretérito imperfecto",beber,pić,to drink,vs,pret_imperfecto,bebíais,,False,
"beber, ellos, pretérito imperfecto",beber,pić,to drink,ellos,pret_imperfecto,bebían,,False,
"beber, tú, imperativo",beber,pić,to drink,tu,imperativo,bebe,,False,
"beber, usted, imperativo",beber,pić,to drink,ud,imperativo,beba,,False,
"beber, ns, imperativo",beber,pić,to drink,ns,imperativo,bebamos,,False,
"beber, vs, imperativo",beber,pić,to drink,vs,imperativo,bebed,,False,
"beber, ustedes, imperativo",beber,pić,to drink,uds,imperativo,beban,,False,
"caerse, yo, presente",caerse,upaść,to fall,yo,presente,me ca<em>ig</em>o,,True,
"caerse, tú, presente",caerse,upaść,to fall,tu,presente,te caes,,False,
"caerse, él, presente",caerse,upaść,to fall,el,presente,se cae,,False,
"caerse, ns, presente",caerse,upaść,to fall,ns,presente,nos caemos,,False,
"caerse, vs, presente",caerse,upaść,to fall,vs,presente,os caéis,,False,
"caerse, ellos, presente",caerse,upaść,to fall,ellos,presente,se caen,,False,
"caerse, yo, pret. indefinido",caerse,upaść,to fall,yo,pret_indefinido,me caí,,False,
"caerse, tú, pret. indefinido",caerse,upaść,to fall,tu,pret_indefinido,te ca<em>í</em>ste,,True,
"caerse, él, pret. indefinido",caerse,upaść,to fall,el,pret_indefinido,se ca<em>y</em>ó,,True,
"caerse, ns, pret. indefinido",caerse,upaść,to fall,ns,pret_indefinido,nos ca<em>í</em>mos,,True,
"caerse, vs, pret. indefinido",caerse,upaść,to fall,vs,pret_indefinido,os ca<em>í</em>steis,,True,
"caerse, ellos, pret. indefinido",caerse,upaść,to fall,ellos,pret_indefinido,se ca<em>y</em>eron,,True,
"caerse, yo, pret. perfecto",caerse,upaść,to fall,yo,pret_perfecto,me he ca<em>í</em>do,,True,
"caerse, tú, pret. perfecto",caerse,upaść,to fall,tu,pret_perfecto,te has ca<em>í</em>do,,True,
"caerse, él, pret. perfecto",caerse,upaść,to fall,el,pret_perfecto,se ha ca<em>í</em>do,,True,
"caerse, ns, pret. perfecto",caerse,upaść,to fall,ns,pret_perfecto,nos hemos ca<em>í</em>do,,True,
"caerse, vs, pret. perfecto",caerse,upaść,to fall,vs,pret_perfecto,os habéis ca<em>í</em>do,,True,
"caerse, ellos, pret. perfecto",caerse,upaść,to fall,ellos,pret_perfecto,se han ca<em>í</em>do,,True,
"caerse, yo, presente progresivo",caerse,upaść,to fall,yo,presente_progresivo,me estoy ca<em>y</em>endo,,True,
"caerse, tú, presente progresivo",caerse,upaść,to fall,tu,presente_progresivo,te estás ca<em>y</em>endo,,True,
"caerse, él, presente progresivo",caerse,upaść,to fall,el,presente_progresivo,se está ca<em>y</em>endo,,True,
"caerse, ns, presente progresivo",caerse,upaść,to fall,ns,presente_progresivo,nos estamos ca<em>y</em>endo,,True,
"caerse, vs, presente progresivo",caerse,upaść,to fall,vs,presente_progresivo,os estáis ca<em>y</em>endo,,True,
"caerse, ellos, presente progresivo",caerse,upaść,to fall,ellos,presente_progresivo,se están ca<em>y</em>endo,,True,
"caerse, yo, pretérito imperfecto",caerse,upaść,to fall,yo,pret_imperfecto,me caía,,False,
"caerse, tú, pretérito imperfecto",caerse,upaść,to fall,tu,pret_imperfecto,te caías,,False,
"caerse, él, pretérito imperfecto",caerse,upaść,to fall,el,pret_imperfecto,se caía,,False,
"caerse, ns, pretérito imperfecto",caerse,upaść,to fall,ns,pret_imperfecto,nos caíamos,,False,
"caerse, vs, pretérito imperfecto",caerse,upaść,to fall,vs,pret_imperfecto,os caíais,,False,
"caerse, ellos, pretérito imperfecto",caerse,upaść,to fall,ellos,pret_imperfecto,se caían,,False,
"caerse, tú, imperativo",caerse,upaść,to fall,tu,imperativo,cáete,,False,
"caerse, usted, imperativo",caerse,upaść,to fall,ud,imperativo,cá<em>ig</em>ase,,True,
"caerse, ns, imperativo",caerse,upaść,to fall,ns,imperativo,ca<em>ig</em>ámonos,,True,
"caerse, vs, imperativo",caerse,upaść,to fall,vs,imperativo,caeos,,False,
"caerse, ustedes, imperativo",caerse,upaść,to fall,uds,imperativo,cá<em>ig</em>anse,,True,
"causar, yo, presente",causar,powodować,to cause,yo,presente,causo,,False,
